variable,field,Y2000,Y2010,district
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.9977640178878566,2.9407648755474844,15
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",55666,59577,15
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",52326,56166,15
Housing Units,"Renter occupied_Male householder, no wife present",48178,52275,15
Housing Units,"Owner occupied_Male householder, no wife present",4148,3891,15
Housing Units,Owner occupied_1  person household,12748,14493,15
Housing Units,Owner occupied_2  person household,11234,12472,15
Housing Units,Owner occupied_3  person household,10261,10709,15
Housing Units,Owner occupied_4  person household,8353,8452,15
Housing Units,Owner occupied_5 persons and over,9730,10040,15
Housing Units,Householder Age - Owner occupied_15 to 24 years,3654,2819,15
Housing Units,Householder Age - Owner occupied_25 to 44 years,25335,23338,15
Housing Units,Householder Age - Owner occupied_45 to 64 years,16030,21666,15
Housing Units,Householder Age - Owner occupied_65 years and over,7307,8343,15
Population,White Nonhispanic,1829,2325,16
Population,Black Nonhispanic,69876,68228,16
Population,Asian and Pacific Islander Nonhispanic,1293,1737,16
Population,Other Nonhispanic,1156,987,16
Population,Two or More Races Nonhispanic,2669,1521,16
Population,Hispanic Origin,86305,102158,16
Population,Female,88319,95053,16
Population,Male,74809,81903,16
Population,Under 5 years,16267,15241,16
Population,5 to 9 years,17728,14521,16
Population,10 to 14 years,15665,14442,16
Population,15 to 19 years,13748,16167,16
Population,20 to 24 years,12543,14623,16
Population,25 to 44 years,49770,49189,16
Population,45 to 64 years,26964,38857,16
Population,65 years and over,10443,13916,16
Population,18 years and over,105063,123105,16
Population,In households,158741,171959,16
Population,In households_In family households,140047,150239,16
Population,In households_In family households_Householder,37726,40819,16
Population,In households_In family households_Spouse,12933,13679,16
Population,In households_In family households_Own child under 18 years,47521,43857,16
Population,In households_In family households_Other relatives,35035,44856,16
Population,In households_In family households_Nonrelatives,6832,7028,16
Population,In households_In nonfamily households,18694,21720,16
Population,In households_In nonfamily households_Householder,15391,17971,16
Population,In households_In nonfamily households_Householder 65 years and over living alone,3685,4664,16
Population,In households_In nonfamily households_Nonrelatives,3303,3749,16
Population,In group quarters_In nonfamily households,4387,4997,16
Households,In group quarters_In nonfamily households,53117,58790,16
Households,Family households_In nonfamily households,37726,40819,16
Households,Family households_Married-couple family,12933,13679,16
Households,Family households_Married-couple family_With related children under 18 years,8551,8592,16
Households,"Family households_Female householder, no husband present",21050,22404,16
Households,"Family households_Female householder, no husband present_With related children under 18 years",16748,15917,16
Households,"Family households_Male householder, no wife present",3743,4736,16
Households,"Family households_Male householder, no wife present_With related children under 18 years",2119,2500,16
Households,"Nonfamily households_Male householder, no wife present",15391,17971,16
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",8539,11568,16
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.5311191220908658,3.508439697199833,16
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.9885159176911347,2.9249702330328287,16
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",56655,62252,16
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",53117,58790,16
Housing Units,"Renter occupied_Male householder, no wife present",49541,54610,16
Housing Units,"Owner occupied_Male householder, no wife present",3576,4180,16
Housing Units,Owner occupied_1  person household,12998,15296,16
Housing Units,Owner occupied_2  person household,11626,13220,16
Housing Units,Owner occupied_3  person household,10418,11123,16
Housing Units,Owner occupied_4  person household,8295,8611,16
Housing Units,Owner occupied_5 persons and over,9780,10540,16
Housing Units,Householder Age - Owner occupied_15 to 24 years,3035,2218,16
Housing Units,Householder Age - Owner occupied_25 to 44 years,25918,23476,16
Housing Units,Householder Age - Owner occupied_45 to 64 years,17124,23746,16
Housing Units,Householder Age - Owner occupied_65 years and over,7040,9350,16
Population,White Nonhispanic,2415,2807,17
Population,Black Nonhispanic,46166,49305,17
Population,Asian and Pacific Islander Nonhispanic,1223,1499,17
Population,Other Nonhispanic,982,931,17
Population,Two or More Races Nonhispanic,1846,1401,17
Population,Hispanic Origin,110118,124121,17
Population,Female,87190,95558,17
Population,Male,75560,84506,17
Population,Under 5 years,14603,14836,17
Population,5 to 9 years,16859,14447,17
Population,10 to 14 years,15599,14400,17
Population,15 to 19 years,14333,16549,17
Population,20 to 24 years,12873,15798,17
Population,25 to 44 years,46937,50577,17
Population,45 to 64 years,29286,37507,17
Population,65 years and over,12260,15950,17
Population,18 years and over,106941,126550,17
Population,In households,158061,175007,17
Population,In households_In family households,139235,152619,17
Population,In households_In family households_Householder,37414,41322,17
Population,In households_In family households_Spouse,13613,13875,17
Population,In households_In family households_Own child under 18 years,44518,42382,17
Population,In households_In family households_Other relatives,36856,47386,17
Population,In households_In family households_Nonrelatives,6834,7654,17
Population,In households_In nonfamily households,18826,22388,17
Population,In households_In nonfamily households_Householder,15800,18379,17
Population,In households_In nonfamily households_Householder 65 years and over living alone,4778,5574,17
Population,In households_In nonfamily households_Nonrelatives,3026,4009,17
Population,In group quarters_In nonfamily households,4689,5057,17
Households,In group quarters_In nonfamily households,53214,59701,17
Households,Family households_In nonfamily households,37414,41322,17
Households,Family households_Married-couple family,13613,13875,17
Households,Family households_Married-couple family_With related children under 18 years,8522,8263,17
Households,"Family households_Female householder, no husband present",20324,22841,17
Households,"Family households_Female householder, no husband present_With related children under 18 years",15534,16080,17
Households,"Family households_Male householder, no wife present",3477,4606,17
Households,"Family households_Male householder, no wife present_With related children under 18 years",1893,2443,17
Households,"Nonfamily households_Male householder, no wife present",15800,18379,17
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",10508,13431,17
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.5388090019778686,3.5081796621654324,17
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.970289773367911,2.9313914339793303,17
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",57293,63176,17
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",53214,59701,17
Housing Units,"Renter occupied_Male householder, no wife present",48645,54846,17
Housing Units,"Owner occupied_Male householder, no wife present",4569,4855,17
Housing Units,Owner occupied_1  person household,13650,15638,17
Housing Units,Owner occupied_2  person household,11569,13437,17
Housing Units,Owner occupied_3  person household,9944,11154,17
Housing Units,Owner occupied_4  person household,8174,8769,17
Housing Units,Owner occupied_5 persons and over,9877,10703,17
Housing Units,Householder Age - Owner occupied_15 to 24 years,2861,2288,17
Housing Units,Householder Age - Owner occupied_25 to 44 years,23099,23282,17
Housing Units,Householder Age - Owner occupied_45 to 64 years,18384,22907,17
Housing Units,Householder Age - Owner occupied_65 years and over,8870,11224,17
Population,White Nonhispanic,7753,5078,18
Population,Black Nonhispanic,52516,49937,18
Population,Asian and Pacific Islander Nonhispanic,6450,10434,18
Population,Other Nonhispanic,2196,2591,18
Population,Two or More Races Nonhispanic,3968,2625,18
Population,Hispanic Origin,91739,98745,18
Population,Female,88870,90586,18
Population,Male,75752,78824,18
Population,Under 5 years,13538,12294,18
Population,5 to 9 years,15015,12041,18
Population,10 to 14 years,13858,12388,18
Population,15 to 19 years,12619,14084,18
Population,20 to 24 years,12103,13183,18
Population,25 to 44 years,49672,48108,18
Population,45 to 64 years,32785,39835,18
Population,65 years and over,15032,17477,18
Population,18 years and over,114548,124344,18
Population,In households,163596,168070,18
Population,In households_In family households,143461,144760,18
Population,In households_In family households_Householder,41092,40984,18
Population,In households_In family households_Spouse,18798,17590,18
Population,In households_In family households_Own child under 18 years,41511,37070,18
Population,In households_In family households_Other relatives,36167,42640,18
Population,In households_In family households_Nonrelatives,5893,6476,18
Population,In households_In nonfamily households,20135,23310,18
Population,In households_In nonfamily households_Householder,16944,19505,18
Population,In households_In nonfamily households_Householder 65 years and over living alone,4712,5318,18
Population,In households_In nonfamily households_Nonrelatives,3191,3805,18
Population,In group quarters_In nonfamily households,1026,1340,18
Households,In group quarters_In nonfamily households,58036,60489,18
Households,Family households_In nonfamily households,41092,40984,18
Households,Family households_Married-couple family,18798,17590,18
Households,Family households_Married-couple family_With related children under 18 years,10690,9542,18
Households,"Family households_Female householder, no husband present",18444,18827,18
Households,"Family households_Female householder, no husband present_With related children under 18 years",13350,12305,18
Households,"Family households_Male householder, no wife present",3850,4567,18
Households,"Family households_Male householder, no wife present_With related children under 18 years",2078,2324,18
Households,"Nonfamily households_Male householder, no wife present",16944,19505,18
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11906,13991,18
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.3478049255329503,3.3740972086667966,18
