SCHOOL,DISTRICT,COUNTY,DISTRICT_TYPE,REGION,ATTENDANCE_RATE,LANGUAGE_ARTS_AVERAGE_CLASS_SIZE,MATHEMATICS_AVERAGE_CLASS_SIZE,SCIENCE_AVERAGE_CLASS_SIZE,HISTORY_GOVERNMENT_AND_GEOGRAPHY_AVERAGE_CLASS_SIZE,GRADE_1_AVERAGE_CLASS_SIZE,GRADE_2_AVERAGE_CLASS_SIZE,KINDERGARTEN_AVERAGE_CLASS_SIZE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,TEACHER_TURNOVER_RATE,PERCENT_OF_STUDENTS_SUSPENDED,N_PUPILS,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PRE_K,K,GRADE_01,GRADE_02,GRADE_03,GRADE_04,GRADE_05,GRADE_06,GRADE_07,GRADE_08,GRADE_09,GRADE_10,GRADE_11,GRADE_12,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES
86160a73,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",89,9.333333333333334,9.333333333333334,9,NA,NA,NA,NA,88,0,52,0,2,NA,0,277,4136,38617,0,50,61,44,36,43,32,0,0,0,0,0,0,0,49,51,10,0,60,4,22,6,8,21,88,0,12,0,0
32593520,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",91,12,12,13,NA,NA,NA,NA,88,0,47,0,2,NA,11,334,4416,26118,0,51,66,62,61,43,51,0,0,0,0,0,0,0,56,44,33,0,39,20,26,6,9,12,88,0,7,1,0
629ff10b,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",91,10.333333333333334,10.333333333333334,9,NA,NA,NA,NA,87,0,45,0,1,NA,2,253,6419,33222,0,52,37,53,33,42,36,0,0,0,0,0,0,0,55,45,16,0,58,3,25,5,9,26,87,0,10,0,1
e4626b59,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",90,12,13.75,19,NA,NA,NA,NA,72,0,99,3,4,NA,19,573,5043,35815,0,0,0,0,0,0,0,177,189,207,0,0,0,0,57,43,12,0,45,14,18,15,8,19,73,0,4,1,0
bc408e37,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",90,11.333333333333334,10,14.5,NA,NA,NA,NA,80,0,86,2,2,NA,20,488,5254,33878,0,0,0,0,0,0,0,175,157,118,0,0,0,0,51,49,18,1,47,13,21,11,7,18,80,0,8,1,0
80358753,e4c6790a,9742e328,Charter School,"Capital District, New York",89,19,19,18,NA,21,19,20,86,2,22,1,0,33,16,247,4062,14933,0,39,41,38,35,41,53,0,0,0,0,0,0,0,100,0,7,0,62,3,18,6,11,6,91,0,1,0,0
6290d7c3,e4c6790a,9742e328,Charter School,"Capital District, New York",88,21.333333333333332,21.333333333333332,21,NA,19,22,17,89,2,29,1,0,13,5,319,3453,12118,0,51,56,43,46,59,64,0,0,0,0,0,0,0,0,100,10,0,63,9,15,5,8,3,93,3,2,0,0
4e88850b,e4c6790a,9742e328,Charter School,"Capital District, New York",87,29.5,27.5,29,NA,NA,NA,NA,81,1,40,0,1,40,20,820,1790,16863,0,82,101,100,96,86,84,87,93,91,0,0,0,0,50,50,3,0,81,1,11,1,5,6,82,0,5,0,0
66dbdd15,e4c6790a,9742e328,Charter School,"Capital District, New York",73,23.5,23.5,NA,NA,NA,NA,NA,54,1,15,1,0,20,12,349,3,14226,0,74,78,71,81,45,0,0,0,0,0,0,0,0,47,53,5,1,64,1,24,2,8,4,55,0,7,0,0
c6218d50,e4c6790a,9742e328,Charter School,"Capital District, New York",86,26,26,24,NA,NA,NA,NA,82,3,30,0,3,50,22,676,2187,16767,0,66,73,71,77,74,73,87,83,72,0,0,0,0,49,51,3,0,82,0,11,3,3,5,86,0,5,0,0
dccd8d3b,e4c6790a,9742e328,Charter School,"Capital District, New York",85,16,16,13,13,NA,NA,NA,92,0,27,0,0,65,15,427,1290,15144,0,0,0,0,0,0,0,45,45,43,99,83,69,43,100,0,0,0,76,1,14,2,7,8,92,0,6,0,0
01fd527b,e4c6790a,9742e328,Charter School,"Capital District, New York",92,16.5,16,16.5,17.5,NA,NA,NA,84,0,47,4,2,61,13,391,1034,20848,0,0,0,0,0,0,0,68,56,58,49,65,61,34,0,100,10,1,62,8,17,9,2,5,87,0,0,0,0
87b4c322,99ca621a,9742e328,Average Need,"Capital District, New York",94,17.666666666666668,15.4,14.6,18.5,NA,NA,NA,37,3,41,3,0,NA,6,326,1309,33912,0,0,0,0,0,0,0,0,53,51,58,51,52,61,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0
5abc0a2c,99ca621a,9742e328,Average Need,"Capital District, New York",93,16.75,16.75,15,NA,NA,NA,NA,37,2,38,1,0,NA,1,386,1388,27334,31,57,51,47,56,43,44,57,0,0,0,0,0,0,54,46,0,0,0,1,3,94,2,14,39,0,0,1,0
40fb2641,2a3fd31c,9742e328,Low Need,"Capital District, New York",96,15,15,17,NA,NA,NA,NA,11,0,26,1,1,NA,1,230,140,26214,0,37,34,41,42,41,33,0,0,0,0,0,0,0,48,52,0,0,4,3,2,83,7,11,15,0,0,0,0
6fb4187b,2a3fd31c,9742e328,Low Need,"Capital District, New York",96,19,19,17,NA,NA,NA,NA,14,1,35,1,0,NA,1,372,136,22578,0,62,59,79,61,60,51,0,0,0,0,0,0,0,48,52,2,0,3,8,3,80,6,11,18,0,0,0,0
11fa2218,2a3fd31c,9742e328,Low Need,"Capital District, New York",95,15.333333333333334,15.333333333333334,15,NA,NA,NA,NA,13,1,36,1,1,NA,1,331,129,24434,0,57,47,44,69,54,60,0,0,0,0,0,0,0,58,42,0,0,3,3,5,81,9,18,16,0,0,0,1
9e56cb39,2a3fd31c,9742e328,Low Need,"Capital District, New York",96,18.666666666666668,18.666666666666668,20,NA,NA,NA,NA,12,1,39,1,1,NA,0,455,142,21718,0,56,81,73,77,69,99,0,0,0,0,0,0,0,52,48,5,0,2,7,6,79,6,8,15,0,0,0,0
f7b69ef8,2a3fd31c,9742e328,Low Need,"Capital District, New York",95,19.666666666666668,21.4,19,NA,NA,NA,NA,14,1,89,5,1,NA,1,902,143,24895,0,0,0,0,0,0,0,302,305,289,0,0,0,0,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0
f8d97f70,2a3fd31c,9742e328,Low Need,"Capital District, New York",95,19,18.333333333333332,17.25,19,NA,NA,NA,15,0,110,8,1,NA,2,1373,139,23282,0,0,0,0,0,0,0,0,0,0,354,326,331,348,52,48,1,0,3,8,3,83,2,8,16,0,0,0,0
001ac8b8,2a3fd31c,9742e328,Low Need,"Capital District, New York",96,19.333333333333332,19.333333333333332,18,NA,NA,NA,NA,14,0,38,1,1,NA,0,429,137,22462,0,63,72,60,84,77,73,0,0,0,0,0,0,0,48,52,3,0,2,4,5,85,4,12,18,0,1,0,0
d1a1bdad,b6901eaf,9742e328,Average Need,"Capital District, New York",90,20,14,13.5,15.5,NA,NA,NA,39,4,59,3,0,NA,8,518,1974,25048,0,0,0,0,0,0,0,0,0,0,129,140,115,132,52,48,1,0,5,1,8,78,8,17,44,0,1,0,0
1d2c7f3c,b6901eaf,9742e328,Average Need,"Capital District, New York",94,15.333333333333334,15.333333333333334,17,NA,14,15,13,38,2,40,1,1,NA,1,415,1832,24404,34,52,56,59,82,65,67,0,0,0,0,0,0,0,53,47,1,0,3,2,9,82,5,18,45,0,1,1,0
b1735872,b6901eaf,9742e328,Average Need,"Capital District, New York",93,16.333333333333332,16.666666666666668,16,NA,16,17,18,41,3,43,1,1,NA,0,445,1825,25022,36,74,65,69,62,70,69,0,0,0,0,0,0,0,52,48,2,0,3,0,11,79,6,20,50,0,0,0,0
530a9dee,b6901eaf,9742e328,Average Need,"Capital District, New York",93,18.333333333333332,18.75,20.5,NA,NA,NA,NA,40,4,53,2,5,NA,13,393,1980,27720,0,0,0,0,0,0,0,122,134,136,0,0,0,0,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0
de97f1e1,80827953,9742e328,High-Need Urban/Suburban,"Capital District, New York",90,16,16,18,NA,17,17,18,75,2,25,0,2,NA,3,320,3736,21097,0,62,51,52,54,42,54,0,0,0,0,0,0,0,53,47,0,0,13,1,16,55,14,17,82,0,8,0,0
84d86c24,80827953,9742e328,High-Need Urban/Suburban,"Capital District, New York",93,18.666666666666668,18.666666666666668,19,NA,16,12,17,74,1,12,0,1,NA,1,137,4217,30946,0,24,20,25,25,20,23,0,0,0,0,0,0,0,60,40,1,0,12,0,16,58,14,39,79,0,7,0,0
41094d72,80827953,9742e328,High-Need Urban/Suburban,"Capital District, New York",84,21,17.333333333333332,20,17,NA,NA,NA,63,1,52,2,3,NA,20,593,2417,22657,0,0,0,0,0,0,0,0,0,0,193,167,117,105,52,48,2,0,13,2,11,67,7,20,66,0,6,0,0
0adf2d5c,80827953,9742e328,High-Need Urban/Suburban,"Capital District, New York",88,19,20.5,23.5,NA,NA,NA,NA,66,2,47,3,1,NA,24,467,3357,20926,0,0,0,0,0,0,0,168,144,147,0,0,0,0,56,44,3,0,11,1,15,62,10,20,71,0,4,0,0
792bd803,80827953,9742e328,High-Need Urban/Suburban,"Capital District, New York",91,17,17,13,NA,18,20,22,59,3,31,1,1,NA,2,378,3313,19612,0,67,72,81,50,68,40,0,0,0,0,0,0,0,50,50,12,0,9,3,11,64,12,17,65,0,6,1,0
7b4b2d99,18b49c28,9742e328,Average Need,"Capital District, New York",94,19.5,19.5,NA,NA,21,21,19,56,4,24,0,1,NA,0,369,1652,19337,52,57,62,62,72,64,0,0,0,0,0,0,0,0,49,51,15,0,14,16,18,44,7,12,63,0,4,1,0
26dd4b3d,18b49c28,9742e328,Average Need,"Capital District, New York",94,13,13,NA,NA,15,15,15,33,3,23,0,1,NA,0,376,778,20382,56,61,61,61,68,69,0,0,0,0,0,0,0,0,47,53,5,0,9,13,6,67,6,13,38,0,1,0,0
e5e1bb50,18b49c28,9742e328,Average Need,"Capital District, New York",94,19.5,19.5,NA,NA,17,22,20,34,2,21,0,1,NA,0,329,896,24165,0,61,67,66,66,69,0,0,0,0,0,0,0,0,55,45,9,1,5,13,10,63,8,12,37,0,4,0,0
41f66276,18b49c28,9742e328,Average Need,"Capital District, New York",92,18,20.333333333333332,19,17.5,NA,NA,NA,38,3,123,7,1,NA,2,1558,922,23170,0,0,0,0,0,0,0,0,0,0,400,386,387,357,50,50,3,0,9,11,11,61,7,17,42,0,3,0,0
257f458e,18b49c28,9742e328,Average Need,"Capital District, New York",93,10.5,10.5,NA,NA,8,10,12,42,7,26,0,1,NA,0,319,1591,24028,18,72,57,55,54,55,0,0,0,0,0,0,0,0,54,46,14,0,11,19,9,52,9,22,53,0,2,0,0
a6796154,18b49c28,9742e328,Average Need,"Capital District, New York",94,21,21,NA,NA,18,19,22,38,2,28,0,1,NA,0,484,904,19078,18,89,94,95,94,94,0,0,0,0,0,0,0,0,48,52,6,0,8,14,9,61,8,10,40,0,2,0,1
35c15de0,18b49c28,9742e328,Average Need,"Capital District, New York",93,15.5,17,18.333333333333332,NA,NA,NA,NA,44,4,81,2,1,NA,5,882,1122,23543,0,0,0,0,0,0,209,202,230,223,0,0,0,0,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0
a36d266c,18b49c28,9742e328,Average Need,"Capital District, New York",94,15.75,14.666666666666666,17,NA,NA,NA,NA,36,4,57,2,1,NA,3,646,989,24787,0,0,0,0,0,0,150,157,161,171,0,0,0,0,53,47,4,0,11,11,8,62,9,14,40,0,2,0,0
5a341678,a83200ef,9742e328,Average Need,"Capital District, New York",95,15,12.857142857142858,10.333333333333334,NA,16,15,14,34,5,30,1,2,NA,4,257,2142,30300,0,28,34,34,25,37,30,23,30,16,0,0,0,0,48,52,11,0,38,28,5,26,2,14,43,1,4,1,1
b11f830d,89fe6e10,9742e328,Low Need,"Capital District, New York",95,16.666666666666668,16.666666666666668,18,NA,14,15,13,34,3,39,1,0,NA,3,439,1706,21392,0,63,69,77,71,83,68,0,0,0,0,0,0,0,58,42,10,0,9,21,8,55,7,18,41,0,2,0,1
725d38f3,89fe6e10,9742e328,Low Need,"Capital District, New York",95,24,24,23,NA,22,23,20,21,2,47,1,1,NA,0,547,952,19168,0,78,87,93,94,101,93,0,0,0,0,0,0,0,50,50,11,1,7,34,6,48,5,10,25,0,1,0,1
c826b266,89fe6e10,9742e328,Low Need,"Capital District, New York",94,24,24,24,NA,22,23,21,33,4,42,1,1,NA,2,439,1130,20641,0,64,67,70,95,72,71,0,0,0,0,0,0,0,51,49,18,0,7,22,12,53,5,14,42,0,7,1,0
b281982c,89fe6e10,9742e328,Low Need,"Capital District, New York",94,22,22,27,NA,23,26,23,22,2,39,1,1,NA,3,451,1042,19980,0,69,68,79,73,82,80,0,0,0,0,0,0,0,53,47,6,0,5,20,4,64,6,24,28,0,1,0,0
4b0f6a0f,89fe6e10,9742e328,Low Need,"Capital District, New York",95,25,25,27,NA,22,26,22,18,1,24,1,1,NA,2,286,599,21757,0,44,44,51,51,43,53,0,0,0,0,0,0,0,50,49,5,0,1,13,12,65,9,17,19,0,1,0,1
d8739698,89fe6e10,9742e328,Low Need,"Capital District, New York",95,16,16.666666666666668,14,NA,15,17,14,21,3,40,1,0,NA,1,392,768,23767,0,41,58,66,68,74,72,0,0,0,0,0,0,0,56,44,5,0,8,19,5,59,7,18,27,0,1,0,0
66d5ae40,89fe6e10,9742e328,Low Need,"Capital District, New York",94,22.666666666666668,16.333333333333332,17,NA,NA,NA,NA,25,3,132,6,1,NA,5,1470,870,20323,0,0,0,0,0,0,0,495,469,492,0,0,0,0,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0
8f89ec7f,89fe6e10,9742e328,Low Need,"Capital District, New York",92,17,21,21,19,NA,NA,NA,27,3,177,12,1,NA,4,2074,1701,20240,0,0,0,0,0,0,0,0,0,0,567,501,491,488,52,48,3,1,9,23,7,54,6,13,32,0,2,0,0
f214ac47,96c15e89,9742e328,High-Need Urban/Suburban,"Capital District, New York",93,11.857142857142858,14.714285714285714,18.5,21,18,22,19,56,0,38,2,1,NA,13,249,0,35759,14,19,18,22,17,17,16,20,10,17,14,24,21,20,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0
0838f2a8,a5af0302,9742e328,Low Need,"Capital District, New York",95,20.333333333333332,20.333333333333332,19,NA,18,17,17,23,2,36,2,1,NA,2,306,1539,24779,0,57,40,56,47,57,38,0,0,0,0,0,0,0,56,44,6,1,1,11,5,78,3,22,27,0,0,0,0
b7d82496,02f58ff1,627417e5,Average Need,Southern Tier,93,15,14.5,NA,NA,13,14,16,52,1,26,0,1,NA,2,314,2817,22010,47,49,53,57,54,54,0,0,0,0,0,0,0,0,54,46,1,0,3,2,6,81,8,16,59,0,4,0,0
1998937e,02f58ff1,627417e5,Average Need,Southern Tier,94,15,15,NA,NA,14,16,13,32,1,28,0,1,NA,2,414,1473,21576,72,75,68,65,69,65,0,0,0,0,0,0,0,0,45,55,0,0,1,2,4,88,5,17,37,0,0,0,0
1c131818,02f58ff1,627417e5,Average Need,Southern Tier,94,14.5,14.5,NA,NA,13,11,14,29,3,28,0,1,NA,1,380,1811,22036,54,57,74,66,71,58,0,0,0,0,0,0,0,0,52,48,1,0,1,2,6,88,4,20,34,0,1,0,1
3bd0c40a,02f58ff1,627417e5,Average Need,Southern Tier,95,18,20.333333333333332,17.5,17,NA,NA,NA,28,2,91,5,2,NA,7,1122,970,22489,0,0,0,0,0,0,0,0,0,0,304,280,287,251,52,47,0,0,1,3,4,84,7,9,32,0,1,0,0
5ba20fb8,02f58ff1,627417e5,Average Need,Southern Tier,94,16,15.5,NA,NA,16,16,19,37,2,31,0,2,NA,0,385,1562,22024,0,74,78,96,67,70,0,0,0,0,0,0,0,0,48,52,3,0,4,8,5,77,5,15,43,0,3,1,1
2da7f69c,02f58ff1,627417e5,Average Need,Southern Tier,93,16,15.666666666666666,19,NA,NA,NA,NA,36,2,55,2,1,NA,8,542,1251,24341,0,0,0,0,0,0,0,0,270,270,0,0,0,0,54,46,0,0,1,2,4,87,5,14,40,0,0,0,0
421b7c60,02f58ff1,627417e5,Average Need,Southern Tier,94,19,20.5,21,NA,NA,NA,NA,38,3,45,1,2,NA,3,574,1623,19341,0,0,0,0,0,0,276,294,0,0,0,0,0,0,51,49,1,0,3,3,5,86,3,16,42,0,1,1,0
820aecb6,ba5b343b,627417e5,Average Need,Southern Tier,92,17,13,11,16,NA,NA,NA,46,2,27,2,0,NA,9,313,2402,22319,0,0,0,0,0,0,0,0,0,0,83,89,72,69,48,52,0,0,4,0,4,82,9,16,50,0,0,0,0
4998e44e,ba5b343b,627417e5,Average Need,Southern Tier,93,14.666666666666666,14,14.5,NA,NA,NA,NA,52,0,28,1,0,NA,7,250,2181,19908,0,0,0,0,0,0,0,89,77,84,0,0,0,0,50,50,0,0,4,0,4,83,8,17,53,0,1,0,0
06e4164a,ba5b343b,627417e5,Average Need,Southern Tier,93,15,15,21,NA,NA,NA,NA,51,0,46,1,0,NA,2,488,2239,20287,43,70,71,81,64,76,83,0,0,0,0,0,0,0,49,51,0,0,3,0,5,85,6,15,56,0,0,0,0
dbc3d242,fbf7f929,aa7cb4d1,High-Need Rural,Southern Tier,93,10.666666666666666,10.666666666666666,15,NA,NA,NA,NA,51,1,26,1,1,NA,5,213,3487,33153,20,36,33,30,19,43,32,0,0,0,0,0,0,0,47,53,1,0,2,1,5,91,2,16,58,0,1,0,0
a41d1ea4,fbf7f929,aa7cb4d1,High-Need Rural,Southern Tier,89,14.25,12.285714285714286,11.5,14.5,NA,NA,NA,53,0,32,2,1,NA,16,247,3119,38659,0,0,0,0,0,0,0,31,28,34,36,34,31,46,50,50,0,0,2,0,5,88,4,17,57,0,3,0,0
3aeea6e4,8873bc9a,aa7cb4d1,Average Need,Southern Tier,91,15.333333333333334,15.4,14.8,18,NA,NA,NA,44,1,28,2,1,NA,11,349,1512,25747,0,0,0,0,0,0,0,0,55,55,61,57,65,55,50,50,0,1,1,2,5,87,5,19,49,0,1,0,0
c9311f58,8873bc9a,aa7cb4d1,Average Need,Southern Tier,92,13.5,13.75,16,NA,NA,NA,NA,49,1,22,2,1,NA,4,281,2998,20643,0,0,0,60,41,58,65,55,0,0,0,0,0,0,54,46,0,0,0,1,5,90,4,17,56,0,2,0,0
00fff78a,8873bc9a,aa7cb4d1,Average Need,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ee109165,0c22e53d,aa7cb4d1,High-Need Rural,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99b0398b,0c22e53d,aa7cb4d1,High-Need Rural,Southern Tier,95,13.666666666666666,13.666666666666666,13,NA,NA,NA,NA,47,1,25,2,0,NA,1,190,2965,24844,0,0,0,0,49,74,67,0,0,0,0,0,0,0,48,52,2,0,2,1,2,95,1,14,51,0,1,1,0
aa110907,0c22e53d,aa7cb4d1,High-Need Rural,Southern Tier,95,19,15.333333333333334,14.25,15,NA,NA,NA,36,0,28,2,0,NA,3,267,2965,28852,0,0,0,0,0,0,0,0,0,0,71,64,73,58,52,48,0,1,1,1,3,93,0,10,38,0,0,0,0
24995ad8,0c22e53d,aa7cb4d1,High-Need Rural,Southern Tier,94,14.666666666666666,14.75,16,NA,NA,NA,NA,44,0,26,1,0,NA,3,203,2951,26199,0,0,0,0,0,0,0,61,73,68,0,0,0,0,54,46,1,0,2,1,2,95,0,15,47,0,0,0,0
8aeae366,60c10b2d,aa7cb4d1,High-Need Rural,Southern Tier,88,9.333333333333334,12,12.6,13.5,NA,NA,NA,59,1,34,1,0,NA,13,343,3827,28134,0,0,0,0,0,1,0,0,64,53,66,53,50,53,49,51,0,1,1,1,2,95,1,23,64,0,4,0,0
8d600236,60c10b2d,aa7cb4d1,High-Need Rural,Southern Tier,90,12,11.5,9,NA,NA,NA,NA,59,3,43,2,0,NA,6,455,3861,22994,33,53,66,71,58,47,51,72,1,0,0,0,0,0,52,48,0,0,0,0,1,97,1,21,67,0,2,0,0
7fc72fbe,c30a0042,aa7cb4d1,High-Need Rural,Southern Tier,93,18,18,19,NA,NA,NA,NA,59,1,35,2,1,NA,0,343,2799,23165,0,0,0,0,103,123,115,0,0,0,0,0,0,0,52,48,1,0,3,1,1,95,1,20,66,0,3,1,0
467e978b,c30a0042,aa7cb4d1,High-Need Rural,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5bc16a24,c30a0042,aa7cb4d1,High-Need Rural,Southern Tier,92,11.333333333333334,16,21,NA,NA,NA,NA,52,0,44,2,1,NA,10,393,2713,23567,0,0,0,0,0,0,0,123,127,139,0,0,0,0,47,53,1,0,5,3,3,86,4,17,59,0,4,0,0
9c1ea594,c30a0042,aa7cb4d1,High-Need Rural,Southern Tier,88,14,15.5,17.75,14.5,NA,NA,NA,46,0,54,4,0,NA,2,516,4503,21937,0,0,0,0,0,0,0,0,0,0,138,140,125,104,56,44,0,0,2,2,4,91,2,18,50,0,3,1,0
7abaacbf,8e42f08b,aa7cb4d1,High-Need Rural,Southern Tier,91,17.142857142857142,14.5,13.8,11.5,NA,NA,NA,50,0,23,0,0,NA,4,290,5707,36743,14,18,17,16,25,25,18,20,20,28,18,29,18,24,51,49,2,0,0,1,2,97,0,20,50,0,0,0,0
a5e60102,d67d2086,aa7cb4d1,High-Need Rural,Southern Tier,93,14.75,15,13.5,NA,NA,NA,NA,48,1,25,1,0,NA,5,216,2956,22134,0,0,0,0,0,0,44,64,54,53,0,0,0,0,46,54,0,0,3,0,4,93,1,14,53,0,0,1,0
c39881db,d67d2086,aa7cb4d1,High-Need Rural,Southern Tier,94,14,10,16.75,16.5,NA,NA,NA,40,1,23,1,0,NA,7,201,3112,37107,0,0,0,0,0,0,0,0,0,0,57,58,41,44,48,52,0,0,1,1,2,95,1,11,45,0,0,0,0
09672351,d67d2086,aa7cb4d1,High-Need Rural,Southern Tier,93,15.5,15.5,NA,NA,22,16,10,46,4,27,1,0,NA,1,282,2076,19907,21,39,68,50,44,60,0,0,0,0,0,0,0,0,49,51,0,1,1,0,4,92,2,16,61,0,1,3,0
